TRACTCE,make_sqm,make_dec,serv_sqm,serv_dec,prof_sqm,prof_dec,supp_sqm,supp_dec,make_c,serv_c,prof_c,supp_c,make_15,serv_15,prof_15,supp_15,make_02,serv_02,prof_02,supp_02
442700,0.000022692820667,2,0.000270692932247,6,0.000036470604644,3,0.000103738608765,1,0.067765585959413,-0.411716506260885,-0.03808562475776,0.282727141414313,0.24404431624199,2.362209599049989,0.353436678976307,0.844592099465721,0.176278730282577,2.773926105310874,0.391522303734067,0.561864958051408
442800,0.000008603966146,1,0.000596802379021,7,0.000039891115767,3,0.000114198096117,2,-0.073564841771717,0.110049010448742,-0.274681472460176,0.103526788102176,0.052824805100931,2.973247437299039,0.220700761777516,0.530792102932443,0.126389646872648,2.863198426850297,0.495382234237692,0.427265314830267
442900,0.00001984264857,3,0.000013067110034,1,0.00001984264857,3,0.000116636056231,4,-0.707092229807092,0.046497589881261,0.444691346895219,0.046744007486136,0.546235926200823,0.291891511191421,0.492230701799701,2.430747373763677,1.253328156007915,0.24539392131016,0.047539354904482,2.384003366277541
443001,0.000007806076989,0,0.000040331397778,1,0.000005204051326,0,0.000084565834051,0,-0.133972922010969,0.301512564975201,0.002602438192948,-0.442365012058749,0.263942808334498,1.106576833133094,0.158564883230461,2.164702996677509,0.397915730345467,0.805064268157893,0.155962445037513,2.607068008736258
443002,0.000013290172103,2,0.000045566304355,2,0.000005062922706,0,0.000117712952917,3,-0.077374433940957,-0.24164157838029,-0.252001041614846,0.30051895368847,0.341194361993375,0.949240686801368,0.117128067055253,2.287820116992429,0.418568795934332,1.190882265181658,0.369129108670099,1.987301163303959
443102,0.000013096130685,3,0.000006759293257,0,0.000020277879771,3,0.000070972579198,2,-0.570429138333049,-0.460262555299923,0.14954801425812,0.711690507787171,0.549629954491229,0.230191869127159,0.766899359198274,2.254988649595384,1.120059092824278,0.690454424427082,0.617351344940154,1.543298141808213
443301,0.000012044478847,2,0.000028526397268,1,0.000013946238665,1,0.000048811835326,0,-0.19767690948169,-0.342555782515136,-0.565884316900235,0.919474726432207,0.543538666652023,1.044601522668684,0.56713697498993,1.667607914948733,0.741215576133713,1.38715730518382,1.133021291890165,0.748133188516526
504311,0.000028948350122,4,0.000185177541256,6,0.000105224955205,7,0.000147039238715,5,-0.875096585285738,0.023713491985686,-0.004832516605936,0.747830084603121,0.289426941553001,1.502327956706802,0.948030535846355,1.112947717276258,1.164523526838739,1.478614464721116,0.952863052452291,0.365117632673137
504314,0.000011525114879,1,0.000022372281824,1,0.00003321944877,3,0.000296263247191,6,0.098022622316303,0.021069565925316,0.348951122850551,-0.830868021819635,0.14789332730683,0.232956533600118,0.384135262826032,2.87811056865946,0.049870704990527,0.211886967674802,0.035184139975481,3.708978590479095
504315,0.000080046610117,6,0.000001890864806,0,0.000008193747492,1,0.000102106699519,2,1.285196479627015,-0.649738540327374,-0.353226572890907,-0.241350047989697,1.941638298250824,0.037217496873223,0.179100335320963,1.87502042163663,0.656441818623809,0.686956037200597,0.53232690821187,2.116370469626327
